unit,n_portion,sex,age,country,time,value
PC,0,F,Y65-74,EL,2019 ,33.9
PC,0,F,Y65-74,ES,2019 ,12.4
PC,0,F,Y65-74,EU27_2020,2019 ,22.9
PC,0,F,Y65-74,EU28,2019 ,
PC,0,F,Y65-74,FI,2019 ,29.4
PC,0,F,Y65-74,FR,2019 ,11.9
PC,0,F,Y65-74,HR,2019 ,23.1
PC,0,F,Y65-74,HU,2019 ,23.6
PC,0,F,Y65-74,IE,2019 ,16.8
PC,0,F,Y65-74,IS,2019 ,40.1
PC,0,F,Y65-74,IT,2019 ,16.9
PC,0,F,Y65-74,LT,2019 ,41.2
PC,0,F,Y65-74,LU,2019 ,38.3
PC,0,F,Y65-74,LV,2019 ,75.6
PC,0,F,Y65-74,MT,2019 ,22.6
PC,0,F,Y65-74,NL,2019 ,35.3
PC,0,F,Y65-74,NO,2019 ,28.8
PC,0,F,Y65-74,PL,2019 ,44.1
PC,0,F,Y65-74,PT,2019 ,19.8
PC,0,F,Y65-74,RO,2019 ,80.4
PC,0,F,Y65-74,RS,2019 ,41.8
PC,0,F,Y65-74,SE,2019 ,30.3
PC,0,F,Y65-74,SI,2019 ,15.4
PC,0,F,Y65-74,SK,2019 ,44.1
PC,0,F,Y65-74,TR,2019 ,39.9
PC,0,F,Y65-74,UK,2019 ,
PC,0,F,Y_GE18,AT,2019 ,28.0
PC,0,F,Y_GE18,BE,2019 ,16.3
PC,0,F,Y_GE18,BG,2019 ,56.0
PC,0,F,Y_GE18,CY,2019 ,31.3
PC,0,F,Y_GE18,CZ,2019 ,51.1
PC,0,F,Y_GE18,DE,2019 ,25.3
PC,0,F,Y_GE18,DK,2019 ,41.1
PC,0,F,Y_GE18,EE,2019 ,41.7
PC,0,F,Y_GE18,EL,2019 ,36.2
PC,0,F,Y_GE18,ES,2019 ,19.4
PC,0,F,Y_GE18,EU27_2020,2019 ,27.4
PC,0,F,Y_GE18,EU28,2019 ,
PC,0,F,Y_GE18,FI,2019 ,37.6
PC,0,F,Y_GE18,FR,2019 ,19.6
PC,0,F,Y_GE18,HR,2019 ,25.8
PC,0,F,Y_GE18,HU,2019 ,33.4
PC,0,F,Y_GE18,IE,2019 ,24.8
PC,0,F,Y_GE18,IS,2019 ,32.7
PC,0,F,Y_GE18,IT,2019 ,21.0
PC,0,F,Y_GE18,LT,2019 ,48.1
PC,0,F,Y_GE18,LU,2019 ,44.2
PC,0,F,Y_GE18,LV,2019 ,64.4
PC,0,F,Y_GE18,MT,2019 ,32.0
PC,0,F,Y_GE18,NL,2019 ,36.0
PC,0,F,Y_GE18,NO,2019 ,28.6
PC,0,F,Y_GE18,PL,2019 ,44.1
PC,0,F,Y_GE18,PT,2019 ,24.4
PC,0,F,Y_GE18,RO,2019 ,80.6
PC,0,F,Y_GE18,RS,2019 ,47.5
PC,0,F,Y_GE18,SE,2019 ,33.9
PC,0,F,Y_GE18,SI,2019 ,23.0
PC,0,F,Y_GE18,SK,2019 ,46.9
PC,0,F,Y_GE18,TR,2019 ,37.0
PC,0,F,Y_GE18,UK,2019 ,
PC,0,F,Y_GE65,AT,2019 ,22.5
PC,0,F,Y_GE65,BE,2019 ,11.6
PC,0,F,Y_GE65,BG,2019 ,57.3
PC,0,F,Y_GE65,CY,2019 ,27.9
PC,0,F,Y_GE65,CZ,2019 ,53.6
PC,0,F,Y_GE65,DE,2019 ,18.8
PC,0,F,Y_GE65,DK,2019 ,35.5
PC,0,F,Y_GE65,EE,2019 ,40.7
PC,0,F,Y_GE65,EL,2019 ,39.3
PC,0,F,Y_GE65,ES,2019 ,11.5
PC,0,F,Y_GE65,EU27_2020,2019 ,22.7
PC,0,F,Y_GE65,EU28,2019 ,
PC,0,F,Y_GE65,FI,2019 ,31.6
PC,0,F,Y_GE65,FR,2019 ,9.7
PC,0,F,Y_GE65,HR,2019 ,25.4
PC,0,F,Y_GE65,HU,2019 ,23.6
PC,0,F,Y_GE65,IE,2019 ,21.6
PC,0,F,Y_GE65,IS,2019 ,34.4
PC,0,F,Y_GE65,IT,2019 ,15.8
PC,0,F,Y_GE65,LT,2019 ,54.4
PC,0,F,Y_GE65,LU,2019 ,39.0
PC,0,F,Y_GE65,LV,2019 ,71.6
PC,0,F,Y_GE65,MT,2019 ,23.2
PC,0,F,Y_GE65,NL,2019 ,27.2
PC,0,F,Y_GE65,NO,2019 ,23.9
PC,0,F,Y_GE65,PL,2019 ,44.7
PC,0,F,Y_GE65,PT,2019 ,21.3
PC,0,F,Y_GE65,RO,2019 ,79.7
PC,0,F,Y_GE65,RS,2019 ,45.3
PC,0,F,Y_GE65,SE,2019 ,30.2
PC,0,F,Y_GE65,SI,2019 ,19.9
PC,0,F,Y_GE65,SK,2019 ,47.4
PC,0,F,Y_GE65,TR,2019 ,39.5
PC,0,F,Y_GE65,UK,2019 ,
PC,0,F,Y_GE75,AT,2019 ,24.8
PC,0,F,Y_GE75,BE,2019 ,10.0
